"TRIP_NUMBER","TE_FILTER"

430870,"PR331549"
430896,"PR331594"
432869,"PR332991"
433326,"PR333251"
434927,"PR331673"
436361,"PR335386"
440491,"PR338054"
444072,"PR340401"
483979,"MW000066"
490164,"PR369159"
490169,"PR369321"
490170,"PR369324"
490264,"PR369363"
491365,"PR369162"
491819,"PR369168"
492132,"PR370020"
492163,"PR368707"
493471,"PR369152"
493534,"PR369157"
493612,"MC007966"
493613,"MC007967"
493632,"PR369167"
493676,"PR369153"
494108,"PR371636"
494112,"PR371640"
494640,"PR371943"
495490,"PR371949"
495780,"PR371941"
495783,"PR371942"
496177,"PR372860"
497861,"MC008057"
497872,"MC008058"
498060,"MC008060"
498063,"BH374016"
498175,"MC008062"
498547,"MC008065"
498757,"MC008064"
498760,"MC008066"
498864,"MC008067"
499092,"MC008069"
499146,"MC008033"
502348,"PR376512"
502349,"PR376513"
504533,"PR377589"
505882,"PR378609"
506472,"PR378918"
506625,"PR379052"
507141,"PR379368"
507148,"PR378376"
507345,"PR379310"
507679,"PR379301"
507810,"PR379246"
507813,"PR379306"
508400,"PR380155"
508771,"PR380396"
508893,"PR379761"
508920,"PR380497"
509090,"PR380477"
509847,"MC008376"
509852,"MC008377"
509941,"PR381064"
509967,"MC008378"
510326,"PR381406"
510406,"MC008379"
510597,"PR381570"
510707,"PR381626"
511216,"PR381755"
511400,"MC008400"
511410,"MC008399"
511442,"MC008446"
511700,"MC008393"
511720,"MC008395"
511722,"MC008397"
511778,"PR382290"
511779,"MC008398"
512317,"MC008396"
512481,"MW000336"
512569,"PR382772"
512630,"PR381880"
512922,"PR381552"
513333,"MC008491"
513577,"PR383222"
513711,"PR383274"
513780,"PR381922"
513832,"PR380627"
513849,"PR382975"
514160,"PR381881"
514203,"MC008437"
514305,"PR382998"
514355,"MW000380"
514813,"MC008485"
514814,"MC008487"
514848,"PR383966"
514918,"PR383658"
515186,"MC008489"
515193,"MC008494"
515198,"MC008495"
515201,"MC008496"
515406,"MC008501"
515434,"MC008440"
515516,"PR384265"
515597,"MC008504"
515601,"MC008441"
515668,"PR384225"
515967,"MC008394"
516310,"MC008459"
516571,"PR384985"
516964,"MC008506"
517197,"PR385294"
517198,"PR385297"
517199,"PR385303"
517396,"MA002308"
517461,"MC008507"
517544,"PR384197"
517681,"MC008537"
518174,"MC008539"
518661,"MC008547"
518767,"MC008548"
518777,"MC008549"
519818,"MA002342"
519904,"PR386878"
520214,"MC008508"
520217,"MC008510"
520281,"MA002346"
520385,"PR386862"
520522,"MC008592"
520691,"MC008596"
521028,"MC008614"
521029,"MC008615"
521068,"MC008612"
521188,"MC008609"
521279,"MC008598"
521334,"MC008629"
521394,"MC008630"
521503,"MC008631"
521583,"MC008633"
521611,"MC008634"
521613,"MC008635"
521614,"MC008636"
521616,"MC008637"
521617,"MC008638"
521670,"PR387854"
521747,"MC008639"
521956,"PR388082"
522947,"MC008442"
522948,"MC008650"
522949,"MC008651"
522950,"MC008652"
522969,"MC008653"
523034,"MC008632"
523068,"MC008665"
523070,"MC008666"
523071,"MC008667"
523481,"PR388084"
523541,"MC008673"
523944,"PR387674"
523948,"PR388928"
523963,"PR389211"
524243,"PR389391"
524251,"PR389385"
524258,"PR389394"
524313,"MC008685"
524316,"MC008686"
524346,"MC008689"
524479,"MC008700"
524521,"MC008701"
524542,"MC008691"
524547,"MC008692"
524567,"MC008711"
524609,"MC008712"
524612,"MC008705"
524614,"MC008706"
524639,"MC008721"
524640,"MC008722"
524687,"PR389366"
524862,"PR389751"
524963,"PR389200"
524984,"PR389787"
524989,"MC008707"
524990,"MC008708"
524991,"MC008693"
525020,"MC008709"
525112,"MC008718"
525123,"MC008694"
525209,"MC008719"
525248,"MC008714"
525340,"MC008715"
525349,"MC008720"
525446,"MC008737"
525458,"MC008717"
525610,"MW000458"
525790,"PR389793"
526145,"MC008702"
526281,"PR390439"
526292,"MC008704"
526359,"MC008688"
526446,"PR390014"
526457,"PR390654"
526528,"PR390715"
526758,"PR390811"
526762,"PR390813AA"
527139,"MC008763"
527229,"PR390718"
527393,"PR390659"
527957,"PR391511"
527962,"PR391505"
527963,"PR391507"
528034,"MC008766AA"
528159,"PR390996"
528165,"PR391096"
528380,"PR391776"
528482,"PR391839"
528860,"PR391923"
529058,"PR392190"
529064,"PR392197"
529649,"PR392558"
529650,"PR392561"
529656,"PR392579"
529909,"PR392711"
530087,"PR392809"
